Residence,Count
Quezon City,104
San Juan City,54
City of Manila,44
Makati City,36
Pasig City,34
Rizal,28
Taguig City,26
Mandaluyong City,26
Parañaque City,22
Cavite,12
Laguna,11
Marikina City,9
Bulacan,9
Muntinlupa City,9
Las Piñas City,8
Caloocan City,8
Batangas,7
Cagayan,6
Pasay City,6
Lanao del Sur,5
Davao del Sur,5
Pampanga,4
Iloilo,4
Isabela,4
Quezon Province,3
Bataan,3
Valenzuela City,2
Benguet,2
Nueva Ecija,2
La Union,2
Misamis Oriental,2
Negros Occidental,2
Maguindanao,1
Negros Oriental,1
Palawan,1
RIzal,1
Sultan Kudarat,1
Pateros,1
Lanao del Norte,1
Zamboanga del Sur,1
Nueva Vizcaya,1
"""Wuhan, China""",1
Cebu,1
Abra,1
Capiz,1
Northern Samar,1
